x = 0.000000, T_approx = 100.000000, T_exact = 100.000000
x = 0.019531, T_approx = 100.490196, T_exact = 100.000007
x = 0.039062, T_approx = 100.980392, T_exact = 100.000060
x = 0.058594, T_approx = 101.470588, T_exact = 100.000201
x = 0.078125, T_approx = 101.960784, T_exact = 100.000477
x = 0.097656, T_approx = 102.450980, T_exact = 100.000931
x = 0.117188, T_approx = 102.941176, T_exact = 100.001609
x = 0.136719, T_approx = 103.431373, T_exact = 100.002556
x = 0.156250, T_approx = 103.921569, T_exact = 100.003815
x = 0.175781, T_approx = 104.411765, T_exact = 100.005431
x = 0.195312, T_approx = 104.901961, T_exact = 100.007451
x = 0.214844, T_approx = 105.392157, T_exact = 100.009917
x = 0.234375, T_approx = 105.882353, T_exact = 100.012875
x = 0.253906, T_approx = 106.372549, T_exact = 100.016369
x = 0.273438, T_approx = 106.862745, T_exact = 100.020444
x = 0.292969, T_approx = 107.352941, T_exact = 100.025146
x = 0.312500, T_approx = 107.843137, T_exact = 100.030518
x = 0.332031, T_approx = 108.333333, T_exact = 100.036605
x = 0.351562, T_approx = 108.823529, T_exact = 100.043452
x = 0.371094, T_approx = 109.313725, T_exact = 100.051104
x = 0.390625, T_approx = 109.803922, T_exact = 100.059605
x = 0.410156, T_approx = 110.294118, T_exact = 100.069000
x = 0.429688, T_approx = 110.784314, T_exact = 100.079334
x = 0.449219, T_approx = 111.274510, T_exact = 100.090651
x = 0.468750, T_approx = 111.764706, T_exact = 100.102997
x = 0.488281, T_approx = 112.254902, T_exact = 100.116415
x = 0.507812, T_approx = 112.745098, T_exact = 100.130951
x = 0.527344, T_approx = 113.235294, T_exact = 100.146650
x = 0.546875, T_approx = 113.725490, T_exact = 100.163555
x = 0.566406, T_approx = 114.215686, T_exact = 100.181712
x = 0.585938, T_approx = 114.705882, T_exact = 100.201166
x = 0.605469, T_approx = 115.196078, T_exact = 100.221960
x = 0.625000, T_approx = 115.686275, T_exact = 100.244141
x = 0.644531, T_approx = 116.176471, T_exact = 100.267752
x = 0.664062, T_approx = 116.666667, T_exact = 100.292838
x = 0.683594, T_approx = 117.156863, T_exact = 100.319444
x = 0.703125, T_approx = 117.647059, T_exact = 100.347614
x = 0.722656, T_approx = 118.137255, T_exact = 100.377394
x = 0.742188, T_approx = 118.627451, T_exact = 100.408828
x = 0.761719, T_approx = 119.117647, T_exact = 100.441961
x = 0.781250, T_approx = 119.607843, T_exact = 100.476837
x = 0.800781, T_approx = 120.098039, T_exact = 100.513501
x = 0.820312, T_approx = 120.588235, T_exact = 100.551999
x = 0.839844, T_approx = 121.078431, T_exact = 100.592373
x = 0.859375, T_approx = 121.568627, T_exact = 100.634670
x = 0.878906, T_approx = 122.058824, T_exact = 100.678934
x = 0.898438, T_approx = 122.549020, T_exact = 100.725210
x = 0.917969, T_approx = 123.039216, T_exact = 100.773542
x = 0.937500, T_approx = 123.529412, T_exact = 100.823975
x = 0.957031, T_approx = 124.019608, T_exact = 100.876553
x = 0.976562, T_approx = 124.509804, T_exact = 100.931323
x = 0.996094, T_approx = 125.000000, T_exact = 100.988327
x = 1.015625, T_approx = 125.490196, T_exact = 101.047611
x = 1.035156, T_approx = 125.980392, T_exact = 101.109220
x = 1.054688, T_approx = 126.470588, T_exact = 101.173198
x = 1.074219, T_approx = 126.960784, T_exact = 101.239590
x = 1.093750, T_approx = 127.450980, T_exact = 101.308441
x = 1.113281, T_approx = 127.941176, T_exact = 101.379795
x = 1.132812, T_approx = 128.431373, T_exact = 101.453698
x = 1.152344, T_approx = 128.921569, T_exact = 101.530193
x = 1.171875, T_approx = 129.411765, T_exact = 101.609325
x = 1.191406, T_approx = 129.901961, T_exact = 101.691140
x = 1.210938, T_approx = 130.392157, T_exact = 101.775682
x = 1.230469, T_approx = 130.882353, T_exact = 101.862995
x = 1.250000, T_approx = 131.372549, T_exact = 101.953125
x = 1.269531, T_approx = 131.862745, T_exact = 102.046116
x = 1.289062, T_approx = 132.352941, T_exact = 102.142012
x = 1.308594, T_approx = 132.843137, T_exact = 102.240859
x = 1.328125, T_approx = 133.333333, T_exact = 102.342701
x = 1.347656, T_approx = 133.823529, T_exact = 102.447583
x = 1.367188, T_approx = 134.313725, T_exact = 102.555549
x = 1.386719, T_approx = 134.803922, T_exact = 102.666645
x = 1.406250, T_approx = 135.294118, T_exact = 102.780914
x = 1.425781, T_approx = 135.784314, T_exact = 102.898403
x = 1.445312, T_approx = 136.274510, T_exact = 103.019154
x = 1.464844, T_approx = 136.764706, T_exact = 103.143214
x = 1.484375, T_approx = 137.254902, T_exact = 103.270626
x = 1.503906, T_approx = 137.745098, T_exact = 103.401436
x = 1.523438, T_approx = 138.235294, T_exact = 103.535688
x = 1.542969, T_approx = 138.725490, T_exact = 103.673427
x = 1.562500, T_approx = 139.215686, T_exact = 103.814697
x = 1.582031, T_approx = 139.705882, T_exact = 103.959544
x = 1.601562, T_approx = 140.196078, T_exact = 104.108012
x = 1.621094, T_approx = 140.686275, T_exact = 104.260145
x = 1.640625, T_approx = 141.176471, T_exact = 104.415989
x = 1.660156, T_approx = 141.666667, T_exact = 104.575588
x = 1.679688, T_approx = 142.156863, T_exact = 104.738986
x = 1.699219, T_approx = 142.647059, T_exact = 104.906230
x = 1.718750, T_approx = 143.137255, T_exact = 105.077362
x = 1.738281, T_approx = 143.627451, T_exact = 105.252428
x = 1.757812, T_approx = 144.117647, T_exact = 105.431473
x = 1.777344, T_approx = 144.607843, T_exact = 105.614541
x = 1.796875, T_approx = 145.098039, T_exact = 105.801678
x = 1.816406, T_approx = 145.588235, T_exact = 105.992927
x = 1.835938, T_approx = 146.078431, T_exact = 106.188333
x = 1.855469, T_approx = 146.568627, T_exact = 106.387942
x = 1.875000, T_approx = 147.058824, T_exact = 106.591797
x = 1.894531, T_approx = 147.549020, T_exact = 106.799944
x = 1.914062, T_approx = 148.039216, T_exact = 107.012427
x = 1.933594, T_approx = 148.529412, T_exact = 107.229291
x = 1.953125, T_approx = 149.019608, T_exact = 107.450581
x = 1.972656, T_approx = 149.509804, T_exact = 107.676341
x = 1.992188, T_approx = 150.000000, T_exact = 107.906616
x = 2.011719, T_approx = 150.490196, T_exact = 108.141451
x = 2.031250, T_approx = 150.980392, T_exact = 108.380890
x = 2.050781, T_approx = 151.470588, T_exact = 108.624978
x = 2.070312, T_approx = 151.960784, T_exact = 108.873761
x = 2.089844, T_approx = 152.450980, T_exact = 109.127282
x = 2.109375, T_approx = 152.941176, T_exact = 109.385586
x = 2.128906, T_approx = 153.431373, T_exact = 109.648718
x = 2.148438, T_approx = 153.921569, T_exact = 109.916723
x = 2.167969, T_approx = 154.411765, T_exact = 110.189645
x = 2.187500, T_approx = 154.901961, T_exact = 110.467529
x = 2.207031, T_approx = 155.392157, T_exact = 110.750420
x = 2.226562, T_approx = 155.882353, T_exact = 111.038363
x = 2.246094, T_approx = 156.372549, T_exact = 111.331402
x = 2.265625, T_approx = 156.862745, T_exact = 111.629581
x = 2.285156, T_approx = 157.352941, T_exact = 111.932947
x = 2.304688, T_approx = 157.843137, T_exact = 112.241542
x = 2.324219, T_approx = 158.333333, T_exact = 112.555413
x = 2.343750, T_approx = 158.823529, T_exact = 112.874603
x = 2.363281, T_approx = 159.313725, T_exact = 113.199158
x = 2.382812, T_approx = 159.803922, T_exact = 113.529122
x = 2.402344, T_approx = 160.294118, T_exact = 113.864540
x = 2.421875, T_approx = 160.784314, T_exact = 114.205456
x = 2.441406, T_approx = 161.274510, T_exact = 114.551915
x = 2.460938, T_approx = 161.764706, T_exact = 114.903963
x = 2.480469, T_approx = 162.254902, T_exact = 115.261643
x = 2.500000, T_approx = 162.745098, T_exact = 115.625000
x = 2.519531, T_approx = 163.235294, T_exact = 115.994079
x = 2.539062, T_approx = 163.725490, T_exact = 116.368926
x = 2.558594, T_approx = 164.215686, T_exact = 116.749583
x = 2.578125, T_approx = 164.705882, T_exact = 117.136097
x = 2.597656, T_approx = 165.196078, T_exact = 117.528512
x = 2.617188, T_approx = 165.686275, T_exact = 117.926872
x = 2.636719, T_approx = 166.176471, T_exact = 118.331222
x = 2.656250, T_approx = 166.666667, T_exact = 118.741608
x = 2.675781, T_approx = 167.156863, T_exact = 119.158073
x = 2.695312, T_approx = 167.647059, T_exact = 119.580662
x = 2.714844, T_approx = 168.137255, T_exact = 120.009421
x = 2.734375, T_approx = 168.627451, T_exact = 120.444393
x = 2.753906, T_approx = 169.117647, T_exact = 120.885624
x = 2.773438, T_approx = 169.607843, T_exact = 121.333158
x = 2.792969, T_approx = 170.098039, T_exact = 121.787040
x = 2.812500, T_approx = 170.588235, T_exact = 122.247314
x = 2.832031, T_approx = 171.078431, T_exact = 122.714026
x = 2.851562, T_approx = 171.568627, T_exact = 123.187220
x = 2.871094, T_approx = 172.058824, T_exact = 123.666941
x = 2.890625, T_approx = 172.549020, T_exact = 124.153233
x = 2.910156, T_approx = 173.039216, T_exact = 124.646141
x = 2.929688, T_approx = 173.529412, T_exact = 125.145710
x = 2.949219, T_approx = 174.019608, T_exact = 125.651984
x = 2.968750, T_approx = 174.509804, T_exact = 126.165009
x = 2.988281, T_approx = 175.000000, T_exact = 126.684828
x = 3.007812, T_approx = 175.490196, T_exact = 127.211487
x = 3.027344, T_approx = 175.980392, T_exact = 127.745031
x = 3.046875, T_approx = 176.470588, T_exact = 128.285503
x = 3.066406, T_approx = 176.960784, T_exact = 128.832950
x = 3.085938, T_approx = 177.450980, T_exact = 129.387414
x = 3.105469, T_approx = 177.941176, T_exact = 129.948942
